dep,rms_sr,rms_sir,ratio,winner,r,max_variance,variance_peak_day,epidemic_peak_day,delay_variance,A,tau,T,max_deaths
01,0.35355297414820924,0.8182876115361855,2.314469602490629,SR,1.3144696024906288,0.9456156088809149,9,20,11,2.901143226815527,25.420470311048483,8.350938082917473,3.2857142857142856
02,1.1643225085746993,1.7260695145779636,1.4824668439081579,SR,0.4824668439081579,9.210697465799502,13,17,4,6.091595123579564,22.605600349849276,10.507994847165934,9.142857142857142
03,0.22550515592537473,0.2919876903033133,1.2948160280642953,SR,0.29481602806429524,0.2000448531060777,33,28,-5,0.7625881862645166,29.778348269164233,14.606980765061712,1.4285714285714286
06,0.48499352699366965,1.200493699924688,2.4752777781719906,SR,1.4752777781719908,1.2268445839874416,9,24,15,4.086567430116822,29.031556586417626,11.945024080469118,4.714285714285714
07,0.47477923334995437,0.6851357554547554,1.4430617586632093,SR,0.44306175866320924,0.6679748822605964,7,17,10,1.9141357732666782,31.425491779064775,17.037072640838197,2.7142857142857144
08,0.4230484797311028,0.7847856742960504,1.855072673455473,SR,0.855072673455473,1.9762278537788718,37,30,-7,2.912005023835079,28.05285573378116,3.7266368431007386,3.2857142857142856
10,0.6555413462448803,1.1590747560926222,1.7681184607685216,SR,0.7681184607685217,2.8916797488226065,14,19,5,3.7721465294366245,25.37661349649796,9.013280013958328,5.428571428571429
11,0.29429452586686083,0.3998786974951282,1.3587704233276625,SR,0.3587704233276625,0.3920161471181878,25,19,-6,1.4277859424143282,18.076651066646146,9.581445047753585,2.142857142857143
12,0.13501018887447958,0.25017504001860263,1.8530085921973865,SR,0.8530085921973863,0.18580399192644093,26,20,-6,1.0054402037161605,17.823320661169088,5.199906368637336,1.2857142857142858
13,1.782184895393244,4.113264252097786,2.3079896270752442,SR,1.3079896270752442,19.2962547656425,41,34,-7,13.403978245150553,30.7019135716589,10.334587536366483,16.428571428571427
14,0.47000142501999354,0.7297957563526869,1.5527522205313353,SR,0.5527522205313354,1.0885848845032517,14,19,5,2.612241119049704,22.816545826305774,6.32810267930739,3.142857142857143
16,0.228191501841511,0.23154477232409595,1.0146949840617376,SR,0.014694984061737571,0.33740749046871493,14,9,-5,0.3109600409845327,11.499015062611804,14.275443784065116,1.1428571428571428
17,0.2768634061147679,0.43903502299757285,1.5857459429491383,SR,0.5857459429491384,0.48497420946400543,9,12,3,1.3678591863964886,24.297532215101302,9.37251320083419,1.5714285714285714
18,0.3602962537406064,0.5636594713913957,1.564433339340796,SR,0.5644333393407961,0.6554160125588697,11,16,5,1.825841813813837,27.307956465416016,11.453284340617762,2.2857142857142856
19,0.20774118076369597,0.28562521423708126,1.3749089765787834,SR,0.37490897657878336,0.19376541825521418,16,17,1,0.8074405930993617,28.684765966420578,11.9297924811186,1.1428571428571428
21,0.7653647996378425,1.8741734640544914,2.4487322449913007,SR,1.448732244991301,5.127719219555964,41,26,-15,7.033432825153804,25.264902351539508,8.991440009090283,7.714285714285714
22,0.2227919215409616,0.32812329644390253,1.4727791482492112,SR,0.4727791482492112,0.23155416012558877,11,22,11,1.3053613713390984,19.797364142833054,4.910915585523695,1.4285714285714286
25,0.4747193747110998,0.9285535531935354,1.956005174127611,SR,0.956005174127611,1.3425655976676383,7,16,9,3.3840969733849744,24.073426187833103,12.032012141222799,3.5714285714285716
26,0.4810895139442171,1.0163733135169153,2.112649068536474,SR,1.112649068536474,2.4181430814083873,7,15,8,3.9900056019928627,18.849163924454146,8.704474267565141,5.0
27,0.3324229402308365,0.8082646296762999,2.4314345728217073,SR,1.431434572821707,0.9414666965687375,14,20,6,2.86759433372544,24.7910033563338,6.41593798103984,3.142857142857143
28,0.42845485477813183,0.7906068362717338,1.8452512031428288,SR,0.8452512031428289,0.5921731329894595,7,30,23,2.717405390161112,30.010029728787718,12.516542562822218,3.4285714285714284
29,0.2204099545344063,0.4875963349250419,2.2122246518086706,SR,1.2122246518086706,0.574568288854003,24,28,4,2.0017812091464946,28.754690633052874,4.012726813437572,2.4285714285714284
30,0.34034330270019836,0.7136442194639093,2.096836381976772,SR,1.0968363819767721,0.6285041489123114,33,37,4,2.14661759096999,38.429701750769645,11.38062461040759,3.0
31,0.2536347619861428,0.41092416176738306,1.6201413345298215,SR,0.6201413345298215,0.19690513568064588,11,21,10,1.399795160954425,29.48962251939328,14.060120401549273,2.0
32,0.1975656629303824,0.25861427506775575,1.309004162119434,SR,0.309004162119434,0.16281677506167305,11,14,3,0.5553332207784444,29.722900656133646,11.844706509501268,1.0
33,0.5206966308176384,0.9357614176889673,1.7971336135199527,SR,0.7971336135199527,2.101928683561337,7,19,12,3.3101988376875506,25.152063139272002,12.57472401922106,4.142857142857143
34,0.44624571495308357,0.9520656746974678,2.1335009901385025,SR,1.1335009901385025,1.56548553487329,8,14,6,3.851193599762877,19.054278338236582,7.424151314776364,4.285714285714286
35,0.26175700913721606,0.7851330298882101,2.999472802948456,SR,1.9994728029484563,0.761717873962771,36,21,-15,2.9592709284837824,24.983405111034358,6.726101550623608,3.142857142857143
