departement,gamma,r_squared,n_points,epsilon_min,epsilon_max,pic_variance_jour,pic_cas_jour,avance_jours,chi_max
03,0.734916855564475,0.32544201380953963,29,1,29,2020-04-22,2020-04-15,-7,0.6219630709426635
05,0.6275005536597761,0.5530187347768999,29,1,30,2020-04-23,2020-04-15,-8,0.1321671525753159
07,-0.27130047475662067,0.08117163371942353,34,1,34,2020-04-27,2020-04-04,-23,1.0505344995140928
08,1.1614191213564675,0.5731361901471358,29,1,29,2020-04-27,2020-04-17,-10,3.891156462585027
09,0.01621149386618845,0.0023931408160444284,27,1,38,2020-05-07,2020-03-30,-38,0.02332361516034993
10,1.2621776859768652,0.4432659192993371,10,1,10,2020-04-03,2020-04-06,3,5.741496598639458
12,0.06494157304021565,0.010622552679161311,23,1,23,2020-04-16,2020-04-07,-9,0.41982507288629706
13,0.22619193530929532,0.0830518440648746,36,1,36,2020-04-29,2020-04-21,-8,45.85519922254619
14,0.4244717310285908,0.0712978959705275,28,1,28,2020-04-21,2020-04-06,-15,1.9280855199222555
16,0.3442681030715447,0.11253701972759601,14,1,14,2020-04-07,2020-03-27,-11,1.4810495626822153
19,0.6466106803085072,0.495221622741652,12,1,12,2020-04-05,2020-04-04,-1,0.621963070942663
24,0.8286573964816435,0.6983060275387716,15,1,17,2020-04-14,2020-04-16,2,0.23712342079689017
27,1.1249553567331325,0.2795767323676441,13,1,13,2020-04-07,2020-04-07,0,1.877551020408162
29,0.6686440322518746,0.26839202368248727,22,1,22,2020-04-15,2020-04-15,0,1.4402332361516035
30,0.698658687010834,0.5038648106794981,31,1,31,2020-04-24,2020-04-24,0,1.9008746355685118
35,0.3092912266930419,0.1376226660920645,31,1,31,2020-04-24,2020-04-08,-16,1.543245869776482
36,0.5433400230321933,0.2914078532468356,35,1,35,2020-04-28,2020-04-20,-8,2.227405247813413
38,0.4006335774059374,0.15988861618840539,35,1,35,2020-04-28,2020-04-21,-7,3.152575315840609
40,1.3719805165318737,0.5409154468288584,17,1,18,2020-04-14,2020-04-09,-5,0.7191448007774547
46,0.8296492886861319,0.4624123829409851,23,1,23,2020-04-28,2020-05-05,7,1.4693877551020404
49,0.15109722505152584,0.03403710170210834,18,1,18,2020-04-11,2020-04-05,-6,2.732750242954325
50,0.37561989431677084,0.1494028804111022,27,1,27,2020-04-20,2020-04-12,-8,0.5364431486880469
51,-0.43891503832711704,0.2871598592126536,16,1,16,2020-04-09,2020-04-09,0,8.223517978620015
52,1.8002660459785287,0.610622627514447,12,1,12,2020-04-05,2020-04-05,0,7.576287657920311
53,0.27288997104179913,0.1112091757474703,29,1,29,2020-04-22,2020-04-13,-9,0.9368318756073858
58,0.3469514808803501,0.18309545637030292,30,1,30,2020-04-27,2020-04-17,-10,0.8901846452866867
62,0.3550530586132915,0.08795001561570179,37,1,37,2020-04-30,2020-04-20,-10,13.127308066083616
63,0.9848310573221144,0.33273410376210594,17,1,17,2020-04-13,2020-04-08,-5,1.0806608357628777
65,1.1031263341375346,0.4679937930655867,20,1,21,2020-04-14,2020-04-12,-2,0.4820213799805635
70,0.3338462834344956,0.2838047570720643,17,1,17,2020-04-10,2020-04-03,-7,3.615160349854227
80,0.09137878705982722,0.024451651182047954,11,1,11,2020-04-04,2020-04-06,2,7.984450923226421
81,0.6641051947554539,0.5586321552877206,16,1,16,2020-04-09,2020-04-11,2,0.24101068999028163
83,-0.2593713474210897,0.08524933253902706,22,1,22,2020-04-15,2020-04-15,0,2.6715257531584164
85,0.6518485450658605,0.483850065005913,10,1,10,2020-04-03,2020-04-03,0,0.7580174927113698
87,0.5263177801658522,0.33434007087102235,32,1,32,2020-04-25,2020-04-17,-8,0.4820213799805635
89,0.4874592282403496,0.21444385896320195,30,1,30,2020-04-23,2020-04-21,-2,0.6491739552964028
93,-0.23455377501474955,0.09896759346364932,30,1,30,2020-04-23,2020-04-07,-16,90.09426627793952
