region,population,max_deaths,rms_sr,rms_sir,ratio,winner,n_modes_sr,gamma,t_c_gamma,R2_gamma
Auvergne-Rhône-Alpes,8000000.0,44.42857142857143,0.9366711109807903,4.219646295855424,4.5049390830865095,SR,4,1.9743888461712622,50,0.65704211084209
Bourgogne-Franche-Comté,2800000.0,26.571428571428573,1.1252417818154496,2.2212423630272236,1.9740134066507036,SR,4,1.7786653649308808,48,0.542975089363324
Bretagne,3300000.0,8.428571428571429,0.249629780572205,1.4481511855858908,5.801195603611147,SR,4,0.16091952432617512,76,0.0938230043121182
Centre-Val de Loire,2600000.0,13.0,0.5121741290138786,1.2939655955643585,2.526417330089891,SR,4,2.9839534833589156,51,0.6061976723853009
Grand Est,5600000.0,103.71428571428571,2.080248240284478,9.585343757429282,4.607788422461767,SR,4,2.11132447749614,47,0.5826567728840215
Hauts-de-France,6000000.0,51.285714285714285,1.0422064559911877,4.617447588620106,4.430453833860293,SR,4,1.7652757684973985,52,0.6627050865182933
Île-de-France,12200000.0,217.71428571428572,3.114627086877725,14.055077883803074,4.512603753758741,SR,4,2.4501819828476905,52,0.6263575355112055
Normandie,3300000.0,14.285714285714286,0.307745526232031,1.6599856037325937,5.39402026101596,SR,4,2.558271443763596,54,0.6744248601988221
Nouvelle-Aquitaine,6000000.0,12.142857142857142,0.364649992503247,2.1406025678466225,5.870293738803688,SR,4,2.9522822885165656,49,0.5806536978314096
Occitanie,5900000.0,13.285714285714286,0.5295370120899382,1.915036161771961,3.6164349574241004,SR,4,1.2630690529237478,49,0.5606315903731663
Pays de la Loire,3800000.0,11.428571428571429,0.37640445445742965,1.4967548105167348,3.976453500461998,SR,4,2.662438643968312,49,0.6217800485315685
Provence-Alpes-Côte d'Azur,5100000.0,24.857142857142858,0.5317393810262931,2.097514984803869,3.9446297559445807,SR,4,2.7788384296786015,52,0.6456164343189403
